Category*,End Date*,Purpose*,Start Date*,Start*,Stop*,Miles*
Business,01-01-2016 21:17:00,Meal/Entertain,01-01-2016 21:11:00,Fort Pierce,Fort Pierce,5.1
Business,02-01-2016 01:37:00,,02-01-2016 01:25:00,Fort Pierce,Fort Pierce,5
Business,02-01-2016 20:38:00,Errand/Supplies,02-01-2016 20:25:00,Fort Pierce,Fort Pierce,4.8
Business,05-01-2016 17:45:00,Meeting,05-01-2016 17:31:00,Fort Pierce,Fort Pierce,4.7
Business,06-01-2016 15:49:00,Customer Visit,06-01-2016 14:42:00,Fort Pierce,West Palm Beach,63.7
Business,06-01-2016 17:19:00,Meal/Entertain,06-01-2016 17:15:00,West Palm Beach,West Palm Beach,4.3
Business,06-01-2016 17:35:00,Meeting,06-01-2016 17:30:00,West Palm Beach,Palm Beach,7.1
Business,07-01-2016 13:33:00,Meeting,07-01-2016 13:27:00,Cary,Cary,0.8
Business,10-01-2016 08:25:00,Meeting,10-01-2016 08:05:00,Cary,Morrisville,8.3
Business,10-01-2016 12:44:00,Customer Visit,10-01-2016 12:17:00,Jamaica,New York,16.5
Business,10-01-2016 15:51:00,Meeting,10-01-2016 15:08:00,New York,Queens,10.8
Business,10-01-2016 18:53:00,Meeting,10-01-2016 18:18:00,Elmhurst,New York,7.5
Business,10-01-2016 19:32:00,Meeting,10-01-2016 19:12:00,Midtown,East Harlem,6.2
Business,11-01-2016 09:21:00,Temporary Site,11-01-2016 08:55:00,East Harlem,NoMad,6.4
Business,11-01-2016 12:03:00,Errand/Supplies,11-01-2016 11:56:00,Flatiron District,Midtown,1.6
Business,11-01-2016 13:46:00,Meal/Entertain,11-01-2016 13:32:00,Midtown,Midtown East,1.7
Business,11-01-2016 14:43:00,Meal/Entertain,11-01-2016 14:30:00,Midtown East,Midtown,1.9
Business,12-01-2016 12:49:00,Meal/Entertain,12-01-2016 12:33:00,Midtown,Hudson Square,1.9
Business,12-01-2016 13:09:00,Meal/Entertain,12-01-2016 12:53:00,Hudson Square,Lower Manhattan,4
Business,12-01-2016 14:56:00,Errand/Supplies,12-01-2016 14:42:00,Lower Manhattan,Hudson Square,1.8
